site_name,date,site_UTM,site_UTM_error,weather,no_researchers,researcher_initials,start_air_temp,end_air_temp,start_time,end_time,species,snake_id_no,snake_UTM,snake_UTM_error,capture_time,SFD_body_swab_ID,no_lesions,SFD_lesion_swab_ID,age (A/J),sex (M/F),mass_g,svl_mm,total_length_mm,no_photographs,photo_ids,live_dead_frozen_skin,tick_sample_id,comments
Lloyd Railine,2022-07-04,20T 0400020 UTM 5081414,5,"Sunny,some clouds,windy",2,"IA,AM",22,23.5,12:30,02:33,red-bellied,30,20T 0398745 UTM 5080248,5,12:47,"B_030,Bd_030",0,NA,J,NA,4,145,176,20,"C189-C198,C469-C478",live,NA,NA
Lloyd Railine,2022-07-04,20T 0400020 UTM 5081414,5,"Sunny,some clouds,windy",2,"IA,AM",22,23.5,12:30,02:33,Unknown,31,20T 0399516 UTM 5081649,3,01:56,NA,0,NA,NA,NA,NA,NA,NA,1,C213,skin,NA,"Snake skin,no physical data sheet"
Lloyd Railine,2022-07-04,20T 0400020 UTM 5081414,5,"Sunny,some clouds,windy",2,"IA,AM",22,23.5,12:30,02:33,Unknown,32,20T 0399628 UTM 5081283,3,01:56,NA,0,NA,NA,NA,NA,NA,NA,1,C214-C215,skin,NA,"Snake skin,no physical data sheet"
Lloyd Railine,2022-07-04,20T 0400020 UTM 5081414,5,"Sunny,some clouds,windy",2,"IA,AM",22,23.5,12:30,02:33,Unknown,33,20T 0399513 UTM 5081653,3,02:09,NA,0,NA,NA,NA,NA,NA,NA,1,C212,skin,NA,"Snake skin,no physical data sheet"
Lloyd Railine,2022-07-06,20T 0400020 UTM 5081414,5,Partially Cloudy,2,"IA,KD",14,13,09:05,12:01,Maritime Garder,34,20T 0399628 UTM 5081269,5,10:41,"B_034,Bd_034",0,NA,A,F,200,550,659,9,C221-C229,live,NA,"Probably meal in belly,found under really small piece of timber in full dark,2 puncture parks on tail .Missing part of tail."
Atlantic Wildlife Institute,2022-07-07,20T 0398474 UTM 5097055,5,"Partially Cloudy,sunny",2,"IA,KD",24.1,26.1,01:41,03:48,Maritime Garder,35,20T 0398475 UTM 5097026,6,01:50,"B_035,Bd_035",0,NA,A,M,72,460,553,5,C216-C220,live,NA,Black wound on high flank
173 Bridge St,2022-07-11,20T 0395282 UTM 5083026,NA,Sun with light clouds,2,"IA,CB",22.6,26.3,10:01,11:27,Maritime Garder,36,20T 0393462 UTM 5083921,NA,10:09,"B_036,BD_036",0,NA,A,M,62,420,530,10,C500-C509,live,NA,"Red spotting not seen in other sackville snakes,next to house foundation,yellow stripes on side,tail injury halfway down from cloaca,bloaches on part of belly,spotting absent past cloaca."
Powerlines Riverview,2022-07-13,20T 0359874 UTM 5099469,3,"Light clounds,dark",2,"IA,KD",22,13,09:30,04:57,Maritime Garder,37,20T 0359874 UTM 5099961,5,9:42pm,"B_037,Bd_037",0,NA,J,NA,25,292,374,4,"C241,C246,C257,C263",live,NA,Slight discolaration on body (4 spots)
Powerlines Riverview,2022-07-13,20T 0359874 UTM 5099469,3,"Light clounds,dark",2,"IA,KD",22,13,09:30,04:57,Red Bellied,38,20T 0359787 UTM 5099863,NA,10:26pm,"B_038,Bd_038",0,NA,J,NA,4,130,171,4,"C231,C239,C240,C254",live,NA,"Orange belly,caught active out at night ,found on main road near drained swamp"
Powerlines Riverview,2022-07-13,20T 0359874 UTM 5099469,3,"Light clounds,dark",2,"IA,KD",22,13,09:30,04:57,Red Bellied,39,NA,NA,11:31,"B_039,Bd_039",0,NA,NA,,NA,,,1,C498,dead,NA,"Found dead on road,in data analysis used close site UtM as place of capture."
Powerlines Riverview,2022-07-13,20T 0359874 UTM 5099469,3,"Light clounds,dark",2,"IA,KD",22,13,09:30,04:57,Red Bellied,40,20T 0358104 UTM 5099011,5,12:41am,"Bd_040,B_040",0,NA,A,M,12,168,219,2,"C235,C259",live,NA,"Orange belly,caught active out at night ,found on main road near drained swamp"
Powerlines Riverview,2022-07-13,20T 0359874 UTM 5099469,3,"Light clounds,dark",2,"IA,KD",22,13,09:30,04:57,Red Bellied,41,20T 0359312 UTM 5099332,3,1:27am,"Bd_041,B_041",0,NA,A,F,12,169,204,2,"C245,C261",live,NA,Orange belly far enough away from other snakes caught
Powerlines Riverview,2022-07-13,20T 0359874 UTM 5099469,3,"Light clounds,dark",2,"IA,KD",22,13,09:30,04:57,Smooth Greensnake,42,20T 0359353 UTM 5099337,3,1:50AM,"Bd_042,B_042",0,NA,A,F,20,267,363,4,"C247,C251,C255,C265",live,NA,Maybe gravid
Powerlines Riverview,2022-07-13,20T 0359874 UTM 5099469,3,"Light clounds,dark",2,"IA,KD",22,13,09:30,04:57,Red Bellied,43,20T 0359391 UTM 5099346,3,2:14am,"B_043,Bd_043",0,NA,J,NA,13,164,199,15,"C230,C233,C243,C244,C250",live,NA,Orange belly
