date,julian,plot_ID,group,plot_code,cloud_cover,current_precipitation,air_temp,humidity,,VWC,soil_temp,soil_pH,preceding_24h_rainfall,DSR,salamander_ID,species,social_status,group_size,mass_g,svl_mm,total_length_mm,sex,morph,gravid,age,zone,easting,northing,YSHR
16-08-2022,22228,2,control,R,1,0,26,63,79.4,11.7,14.3,5.05,0,2,R1009,RB,A,NA,1.09,41.50,84.00,M,RB,n,A,19 T,714006,5100422,0
16-08-2022,22228,2,control,R,1,0,26,63,79.4,11.7,14.3,5.05,0,2,R1013,RB,A,NA,1.09,40.00,83.20,M,RB,n,A,19 T,714006,5100422,0
16-08-2022,22228,2,control,R,1,0,26,63,79.4,11.7,14.3,5.05,0,2,R1001,RB,G,6,0.92,42.20,87.10,F,RB,n,A,19 T,714006,5100422,0
18-07-2022,22199,3,control,C,1,0,25,73,79.4,38.3,15.3,4.53,0,3,C1005,RB,A,NA,0.52,36.89,38.89,F,RB,NA,A,19 T ,706751,5095434,0
18-07-2022,22199,3,control,C,1,0,25,73,79.4,38.3,15.3,4.53,0,3,C1002,RB,A,NA,0.86,36.64,76.24,F,RB,NA,A,19 T ,706751,5095434,0
18-07-2022,22199,3,control,C,1,0,25,73,79.4,38.3,15.3,4.53,0,3,C1003,RB,A,NA,1.14,41.91,74.45,F,RB,n,A,19 T ,706751,5095434,0
18-07-2022,22199,3,control,C,1,0,25,73,79.4,38.3,15.3,4.53,0,3,C1001,RB,A,NA,1.67,45.43,99.13,F,RB,n,A,19 T ,706751,5095434,0
18-07-2022,22199,3,control,C,1,0,25,73,79.4,38.3,15.3,4.53,0,3,C1004,RB,A,NA,0.75,41.56,78.89,F,RB,n,A,19 T ,706751,5095434,0
15-08-2022,22227,5,control,Q,1,0,26,55,77.9,36.9,14.5,5.47,1,1,Q1003,RB,A,NA,1.05,41.30,78.40,F,RB,n,A,19 T,705836,5096138,0
15-08-2022,22227,5,control,Q,1,0,26,55,77.9,36.9,14.5,5.47,1,1,Q1004,RB,A,NA,1.06,39.70,76.10,F,RB,n,A,19 T,705836,5096138,0
15-08-2022,22227,5,control,Q,1,0,26,55,77.9,36.9,14.5,5.47,1,1,Q1001,RB,A,NA,0.85,40.60,82.50,M,RB,n,A,19 T,705836,5096138,0
15-08-2022,22227,5,control,Q,1,0,26,55,77.9,36.9,14.5,5.47,1,1,Q1002,RB,A,NA,0.86,42.8,82.60,M,RB,n,A,19 T,705836,5096138,0
15-08-2022,22227,5,control,Q,1,0,26,55,77.9,36.9,14.5,5.47,1,1,Q1006,RB,A,NA,0.93,40.40,83.20,M,RB,n,A,19 T,705836,5096138,0
15-08-2022,22227,5,control,Q,1,0,26,55,77.9,36.9,14.5,5.47,1,1,Q1007,RB,A,NA,0.91,41.10,79.30,M,RB,NA,A,19 T,705836,5096138,0
15-08-2022,22227,5,control,Q,1,0,26,55,77.9,36.9,14.5,5.47,1,1,Q1008,RB,A,NA,0.76,36.50,70.70,M,RB,n,A,19 T,705836,5096138,0
15-08-2022,22227,5,control,Q,1,0,26,55,77.9,36.9,14.5,5.47,1,1,Q1005,YS,A,NA,18.12,78.20,147.80,F,NA,n,A,19 T,705836,5096138,0
30-08-2022,22242,6,control,T,1,0,24,42,UNK,42,14.4,4.9,0,3,T1001,RB,A,NA,0.69,36.07,67.45,F,RB,n,A,19 T,704948,5095923,0
30-08-2022,22242,6,control,T,1,0,24,42,UNK,42,14.4,4.9,0,3,T1002,RB,A,NA,0.85,38.80,78.65,F,RB,n,A,19 T,704948,5095923,0
30-08-2022,22242,6,control,T,1,0,24,42,UNK,42,14.4,4.9,0,3,T1010,RB,G,3,0.93,43.97,85.45,F,LB,NA,A,19 T,704948,5095923,0
30-08-2022,22242,6,control,T,1,0,24,42,UNK,42,14.4,4.9,0,3,T1016,RB,A,NA,1.10,41.20,84.80,F,RB,n,A,19 T,704948,5095923,0
30-08-2022,22242,6,control,T,1,0,24,42,UNK,42,14.4,4.9,0,3,T1018,RB,A,NA,1.05,39.90,82.50,F,LB,n,A,19 T,704948,5095923,0
30-08-2022,22242,6,control,T,1,0,24,42,UNK,42,14.4,4.9,0,3,T1019,RB,A,NA,0.95,46.00,81.90,F,RB,n,A,19 T,704948,5095923,0
30-08-2022,22242,6,control,T,1,0,24,42,UNK,42,14.4,4.9,0,3,T1022,RB,A,NA,0.83,37.20,67.80,F,RB,n,A,19 T,704948,5095923,0
30-08-2022,22242,6,control,T,1,0,24,42,UNK,42,14.4,4.9,0,3,T1023,RB,A,NA,1.31,45.60,86.50,F,RB,n,A,19 T,704948,5095923,0
30-08-2022,22242,6,control,T,1,0,24,42,UNK,42,14.4,4.9,0,3,T1007,RB,G,4,0.06,15.14,24.93,J,RB,n,J,19 T,704948,5095923,0
30-08-2022,22242,6,control,T,1,0,24,42,UNK,42,14.4,4.9,0,3,T1008,RB,G,4,0.05,14.80,24.80,J,RB,n,J,19 T,704948,5095923,0
30-08-2022,22242,6,control,T,1,0,24,42,UNK,42,14.4,4.9,0,3,T1011,RB,G,3,0.08,14.95,23.05,J,RB,NA,J,19 T,704948,5095923,0
30-08-2022,22242,6,control,T,1,0,24,42,UNK,42,14.4,4.9,0,3,T1015,RB,A,NA,0.31,27.66,56.29,J,RB,NA,J,19 T,704948,5095923,0
